순서,식품분류기준대분류,식품분류기준중분류,식품분류기준소분류,요오드-131,세슘-134,세슘-137
398,공산품,기타,기타,불검출,불검출,불검출
399,공산품,기타,기타,불검출,불검출,불검출
400,공산품,기타,기타,불검출,불검출,불검출
401,공산품,기타,기타,불검출,불검출,불검출
402,가공식품,원료,원료,불검출,불검출,불검출
403,농산물,곡류,밀,불검출,불검출,불검출
404,가공식품,원료,원료,불검출,불검출,불검출
405,공산품,기타,기타,불검출,불검출,불검출
406,수산물,해조류,기타,불검출,불검출,불검출
407,수산물,해조류,기타,불검출,불검출,불검출
408,수산물,해조류,기타,불검출,불검출,불검출
409,수산물,어류,고등어,불검출,불검출,불검출
410,수산물,어류,연어,불검출,불검출,불검출
411,수산물,어류,대구,불검출,불검출,불검출
412,수산물,어류,명태,불검출,불검출,불검출
413,수산물,연체동물,오징어,불검출,불검출,불검출
414,수산물,연체동물,오징어,불검출,불검출,불검출
415,수산물,연체동물,오징어,불검출,불검출,불검출
416,수산물,연체동물,오징어,불검출,불검출,불검출
417,수산물,갑각류,새우,불검출,불검출,불검출
418,음용수,제품수,제품수,불검출,불검출,불검출
419,음용수,원수,원수,불검출,불검출,불검출
420,음용수,원수,원수,불검출,불검출,불검출
421,음용수,원수,원수,불검출,불검출,불검출
422,음용수,원수,원수,불검출,불검출,불검출
423,음용수,원수,원수,불검출,불검출,불검출
424,음용수,원수,원수,불검출,불검출,불검출
425,음용수,제품수,제품수,불검출,불검출,불검출
426,수산물,어류,고등어,불검출,불검출,불검출
427,수산물,어류,대구,불검출,불검출,불검출
428,수산물,어류,동태,불검출,불검출,불검출
429,수산물,어류,코다리,불검출,불검출,불검출
430,수산물,해조류,다시마,불검출,불검출,불검출
431,수산물,건어물,멸치,불검출,불검출,불검출
432,수산물,건어물,황태,불검출,불검출,불검출
433,수산물,어류,고등어,불검출,불검출,불검출
434,수산물,어류,삼치,불검출,불검출,불검출
435,수산물,연체동물,오징어,불검출,불검출,불검출
436,수산물,해조류,김,불검출,불검출,불검출
437,수산물,해조류,김,불검출,불검출,불검출
438,수산물,해조류,김,불검출,불검출,불검출
439,수산물,어류,동태,불검출,불검출,불검출
440,수산물,해조류,미역,불검출,불검출,불검출
441,수산물,해조류,김,불검출,불검출,불검출
442,수산물,어류,고등어,불검출,불검출,불검출
443,수산물,연체동물,오징어,불검출,불검출,불검출
444,수산물,어류,삼치,불검출,불검출,불검출
445,수산물,어류,대구,불검출,불검출,불검출
446,폐기물,폐기물,폐기물,불검출,불검출,불검출
447,폐기물,폐기물,폐기물,불검출,불검출,불검출
448,폐기물,폐기물,폐기물,불검출,불검출,불검출
449,폐기물,폐기물,폐기물,불검출,불검출,불검출
450,폐기물,폐기물,폐기물,불검출,불검출,불검출
451,폐기물,폐기물,폐기물,불검출,불검출,불검출
452,폐기물,폐기물,폐기물,불검출,불검출,불검출
453,수산물,어류,고등어,불검출,불검출,불검출
454,수산물,어류,갈치,불검출,불검출,불검출
455,수산물,어류,가자미,불검출,불검출,불검출
456,수산물,어류,대구,불검출,불검출,불검출
457,수산물,어류,코다리,불검출,불검출,불검출
458,수산물,어류,동태,불검출,불검출,불검출
459,수산물,어류,임연수,불검출,불검출,불검출
460,수산물,어류,삼치,불검출,불검출,불검출
461,수산물,어류,조,불검출,불검출,불검출
462,수산물,연체동물,낙지,불검출,불검출,불검출
463,수산물,연체동물,오징어,불검출,불검출,불검출
464,수산물,연체동물,주꾸미,불검출,불검출,불검출
465,수산물,갑각류,게,불검출,불검출,불검출
466,수산물,건어물,멸치,불검출,불검출,불검출
467,수산물,건어물,멸치,불검출,불검출,불검출
468,수산물,건어물,멸치,불검출,불검출,불검출
469,수산물,갑각류,새우,불검출,불검출,불검출
470,수산물,해조류,다시마,불검출,불검출,불검출
471,수산물,건어물,황태,불검출,불검출,불검출
472,수산물,건어물,북어,불검출,불검출,0.9
473,수산물,패류,바지락,불검출,불검출,불검출
474,수산물,갑각류,새우,불검출,불검출,불검출
475,수산물,해조류,미역,불검출,불검출,불검출
476,수산물,갑각류,새우,불검출,불검출,불검출
477,수산물,해조류,파래,불검출,불검출,불검출
478,수산물,패류,홍합,불검출,불검출,불검출
479,수산물,건어물,새우,불검출,불검출,불검출
480,수산물,해조류,미역,불검출,불검출,불검출
481,수산물,건어물,오징어,불검출,불검출,불검출
482,수산물,건어물,기타,불검출,불검출,불검출
483,수산물,어류,고등어,불검출,불검출,불검출
484,수산물,어류,명태,불검출,불검출,불검출
485,수산물,어류,코다리,불검출,불검출,불검출
486,수산물,어류,삼치,불검출,불검출,불검출
487,수산물,어류,대구,불검출,불검출,불검출
488,수산물,연체동물,낙지,불검출,불검출,불검출
489,수산물,연체동물,주꾸미,불검출,불검출,불검출
490,수산물,연체동물,오징어,불검출,불검출,불검출
491,수산물,해조류,다시마,불검출,불검출,불검출
492,수산물,건어물,황태,불검출,불검출,불검출
493,수산물,해조류,미역,불검출,불검출,불검출
494,수산물,건어물,멸치,불검출,불검출,불검출
495,원료,기타,기타,불검출,불검출,불검출
496,공산품,기타,기타,불검출,불검출,불검출
497,공산품,기타,기타,불검출,불검출,불검출
498,수산물,어류,삼치,불검출,불검출,불검출
499,수산물,어류,동태,불검출,불검출,불검출
500,수산물,어류,고등어,불검출,불검출,불검출
501,수산물,어류,가자미,불검출,불검출,불검출
502,수산물,어류,임연수,불검출,불검출,불검출
503,수산물,어류,갈치,불검출,불검출,불검출
504,수산물,어류,조,불검출,불검출,불검출
505,수산물,어류,대구,불검출,불검출,불검출
506,수산물,연체동물,오징어,불검출,불검출,불검출
507,수산물,연체동물,낙지,불검출,불검출,불검출
508,수산물,연체동물,주꾸미,불검출,불검출,불검출
509,수산물,건어물,멸치,불검출,불검출,불검출
510,수산물,해조류,다시마,불검출,불검출,불검출
511,수산물,갑각류,새우,불검출,불검출,불검출
512,수산물,갑각류,게,불검출,불검출,불검출
513,수산물,패류,바지락,불검출,불검출,불검출
514,수산물,패류,홍합,불검출,불검출,불검출
515,수산물,건어물,새우,불검출,불검출,불검출
516,수산물,건어물,황태,불검출,불검출,불검출
517,수산물,해조류,미역,불검출,불검출,불검출
518,수산물,어류,코다리,불검출,불검출,불검출
519,수산물,어류,꽁치,불검출,불검출,불검출
520,공산품,기타,기타,불검출,불검출,불검출
521,수산물,어류,명태,불검출,불검출,불검출
522,농산물,채소류,상추,불검출,불검출,불검출
523,농산물,채소류,기타,불검출,불검출,불검출
524,농산물,채소류,부추,불검출,불검출,불검출
525,농산물,채소류,치커리,불검출,불검출,불검출
526,농산물,채소류,갓,불검출,불검출,불검출
527,음용수,제품수,제품수,불검출,불검출,불검출
528,음용수,원수,원수,불검출,불검출,불검출
529,음용수,원수,원수,불검출,불검출,불검출
530,음용수,원수,원수,불검출,불검출,불검출
531,음용수,원수,원수,불검출,불검출,불검출
532,음용수,원수,원수,불검출,불검출,불검출
533,음용수,제품수,제품수,불검출,불검출,불검출
534,원료,향,향,불검출,불검출,불검출
535,원료,향,향,불검출,불검출,불검출
536,가공식품,젓갈류,새우,불검출,불검출,불검출
537,폐기물,폐기물,폐기물,불검출,불검출,불검출
538,폐기물,폐기물,폐기물,불검출,불검출,불검출
539,가공식품,기타,건강보조식품,불검출,불검출,불검출
540,농산물,버섯류,표고버섯,불검출,불검출,1.8
541,수산물,어류,대구,불검출,불검출,불검출
542,수산물,건어물,황태,불검출,불검출,불검출
543,가공식품,젓갈류,오징어,불검출,불검출,불검출
